Angle,Relative Luminous Intensity
-62.072072072072075,0.2765967818118579
-61.891891891891895,0.278800886718799
-61.711711711711715,0.2810148673366105
-61.531531531531535,0.2832386538352425
-61.351351351351354,0.2854721755331353
-61.171171171171174,0.28771536090646355
-60.990990990990994,0.2899681375983494
-60.81081081081081,0.29223043242805036
-60.630630630630634,0.29450217140012036
-60.45045045045045,0.29678327971354324
-60.270270270270274,0.29907368177083893
-60.09009009009009,0.301373301187144
-59.90990990990991,0.30368206079926263
-59.729729729729726,0.3059998826746938
-59.54954954954955,0.3083266881206287
-59.369369369369366,0.3106623976929226
-59.18918918918919,0.3130069312050394
-59.009009009009006,0.3153602077369686
-58.82882882882883,0.3177221456441165
-58.648648648648646,0.320092662566169
-58.46846846846847,0.32247167543592736
-58.288288288288285,0.32485910048811983
