Model,MDO4104C
Firmware Version,1.10

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,1e-06,
Horizontal Delay,0,
Sample Interval,1e-09,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,0.001,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1e-06,20
Vertical Position,0,0
,,
,,
,,
Label,,
TIME,CH2,CH3
-4.705e-06,-1.3e-07,13.6031
-4.704e-06,-1.27344e-07,13.6438
-4.703e-06,-1.24687e-07,13.575
-4.702e-06,-1.28594e-07,13.6
-4.701e-06,-1.23281e-07,13.5719
-4.700e-06,-1.23906e-07,13.7688
-4.699e-06,-1.23594e-07,13.6438
-4.698e-06,-1.18594e-07,13.6688
-4.697e-06,-1.19687e-07,13.6281
-4.696e-06,-1.22969e-07,13.6594
-4.695e-06,-1.20156e-07,13.6344
-4.694e-06,-1.23438e-07,13.6188
-4.693e-06,-1.22813e-07,13.5813
-4.692e-06,-1.17344e-07,13.6781
-4.691e-06,-1.08906e-07,13.6375
-4.690e-06,-1.09375e-07,13.6813
-4.689e-06,-1.10156e-07,13.6469
-4.688e-06,-1.07344e-07,13.5438
-4.687e-06,-1.03594e-07,13.5938
-4.686e-06,-9.9375e-08,13.7531
-4.685e-06,-9.71875e-08,13.5438
-4.684e-06,-9.21875e-08,13.5813
-4.683e-06,-9.46875e-08,13.5969
-4.682e-06,-9.5625e-08,13.625
-4.681e-06,-9.92188e-08,13.6813
-4.680e-06,-9.5625e-08,13.65
-4.679e-06,-9.39063e-08,13.6188
-4.678e-06,-9e-08,13.6219
-4.677e-06,-9.15625e-08,13.6656
-4.676e-06,-9.98437e-08,13.6531
-4.675e-06,-1.0125e-07,13.625
-4.674e-06,-9.65625e-08,13.6781
-4.673e-06,-9.59375e-08,13.6219
-4.672e-06,-8.96875e-08,13.6562
-4.671e-06,-9.03125e-08,13.5906
-4.670e-06,-9.42187e-08,13.5375
-4.669e-06,-9.32813e-08,13.5781
-4.668e-06,-8.64063e-08,13.7344
-4.667e-06,-9.14062e-08,13.6531
-4.666e-06,-9.23438e-08,13.6469
-4.665e-06,-9.5e-08,13.6219
-4.664e-06,-9.125e-08,13.6969
-4.663e-06,-9.59375e-08,13.7031
-4.662e-06,-1.12813e-07,13.725
-4.661e-06,-1.13437e-07,13.6
-4.660e-06,-1.08594e-07,13.6844
-4.659e-06,-1.09531e-07,13.7094
-4.658e-06,-1.09375e-07,13.6562
-4.657e-06,-1.12969e-07,13.5969
-4.656e-06,-1.17969e-07,13.6063
-4.655e-06,-1.1875e-07,13.5969
-4.654e-06,-1.13437e-07,13.7656
-4.653e-06,-1.27187e-07,13.5344
-4.652e-06,-1.27031e-07,13.6188
-4.651e-06,-1.25469e-07,13.5938
-4.650e-06,-1.2375e-07,13.6469
-4.649e-06,-1.21406e-07,13.7
-4.648e-06,-1.19219e-07,13.6
-4.647e-06,-1.25781e-07,13.675
-4.646e-06,-1.31875e-07,13.6188
-4.645e-06,-1.22187e-07,13.6844
-4.644e-06,-1.175e-07,13.5688
-4.643e-06,-1.15469e-07,13.65
-4.642e-06,-1.13906e-07,13.6594
-4.641e-06,-1.15938e-07,13.5906
-4.640e-06,-1.075e-07,13.6844
-4.639e-06,-1.04375e-07,13.6188
-4.638e-06,-1.08125e-07,13.55
-4.637e-06,-1.08906e-07,13.5813
-4.636e-06,-1.1e-07,13.7625
-4.635e-06,-1.06094e-07,13.6281
-4.634e-06,-9.65625e-08,13.6281
-4.633e-06,-9.29687e-08,13.6156
-4.632e-06,-9.03125e-08,13.6469
-4.631e-06,-8.54688e-08,13.7156
-4.630e-06,-8.51563e-08,13.5469
-4.629e-06,-8.6875e-08,13.5781
-4.628e-06,-9.0625e-08,13.6844
-4.627e-06,-8.82813e-08,13.6594
-4.626e-06,-8.85937e-08,13.6188
-4.625e-06,-8.09375e-08,13.625
-4.624e-06,-9.23438e-08,13.6031
-4.623e-06,-9.48438e-08,13.5906
-4.622e-06,-8.92188e-08,13.7844
-4.621e-06,-9.90625e-08,13.5063
-4.620e-06,-9.70312e-08,13.6406
-4.619e-06,-9.75e-08,13.5656
-4.618e-06,-9.15625e-08,13.5969
-4.617e-06,-9.04688e-08,13.6656
-4.616e-06,-9.07813e-08,13.6469
-4.615e-06,-9.64063e-08,13.6594
-4.614e-06,-1.00313e-07,13.5906
-4.613e-06,-9.3125e-08,13.6781
-4.612e-06,-9.57812e-08,13.6375
-4.611e-06,-9.70312e-08,13.6594
-4.610e-06,-9.57812e-08,13.6281
-4.609e-06,-9.39063e-08,13.6063
-4.608e-06,-8.70313e-08,13.6438
-4.607e-06,-9.39063e-08,13.6313
-4.606e-06,-9.42187e-08,13.5406
-4.605e-06,-8.15625e-08,13.5094
-4.604e-06,-7.53125e-08,13.7906
-4.603e-06,-8.07813e-08,13.6406
-4.602e-06,-7.10938e-08,13.6313
-4.601e-06,-6.89063e-08,13.6406
-4.600e-06,-6.625e-08,13.6562
-4.599e-06,-6.65625e-08,13.7
-4.598e-06,-7.03125e-08,13.5563
-4.597e-06,-6.54687e-08,13.5844
-4.596e-06,-6.17188e-08,13.6969
-4.595e-06,-6.42188e-08,13.6375
-4.594e-06,-5.45313e-08,13.6719
-4.593e-06,-5.39063e-08,13.6469
-4.592e-06,-6.03125e-08,13.5938
-4.591e-06,-5.92188e-08,13.6375
-4.590e-06,-5.1875e-08,13.7188
-4.589e-06,-5.65625e-08,13.5813
-4.588e-06,-5.85938e-08,13.625
-4.587e-06,-5.48438e-08,13.5844
-4.586e-06,-4.39063e-08,13.6562
-4.585e-06,-4.17187e-08,13.6969
-4.584e-06,-4.25e-08,13.6156
-4.583e-06,-3.76563e-08,13.6781
-4.582e-06,-4.35937e-08,13.6688
-4.581e-06,-3.75e-08,13.6719
-4.580e-06,-3.60937e-08,13.6781
-4.579e-06,-3.09375e-08,13.6844
-4.578e-06,-4.07812e-08,13.6594
-4.577e-06,-4.51562e-08,13.6125
-4.576e-06,-3.8125e-08,13.6781
-4.575e-06,-4.125e-08,13.6125
-4.574e-06,-5.07813e-08,13.5094
-4.573e-06,-4.60938e-08,13.5688
-4.572e-06,-3.75e-08,13.7875
-4.571e-06,-5.0625e-08,13.6375
-4.570e-06,-5.17188e-08,13.6219
-4.569e-06,-4.25e-08,13.6281
-4.568e-06,-4.96875e-08,13.6344
-4.567e-06,-4.96875e-08,13.6906
-4.566e-06,-6.21875e-08,13.6219
-4.565e-06,-6.51562e-08,13.5281
-4.564e-06,-6.64062e-08,13.6906
-4.563e-06,-7.01563e-08,13.6
-4.562e-06,-6.6875e-08,13.6594
-4.561e-06,-7.35937e-08,13.6594
