Model,MDO4104C
Firmware Version,1.10

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,4e-06,
Horizontal Delay,0,
Sample Interval,4e-09,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.05,20
Vertical Position,0,0
,,
,,
,,
Label,,
TIME,CH2,CH3
-1.8480e-05,-0.0665313,13.8281
-1.8476e-05,-0.0667578,13.8719
-1.8472e-05,-0.0668516,13.8125
-1.8468e-05,-0.066875,13.8594
-1.8464e-05,-0.0671953,13.7656
-1.8460e-05,-0.0671016,13.8844
-1.8456e-05,-0.06725,13.825
-1.8452e-05,-0.0672031,13.8594
-1.8448e-05,-0.0674531,13.7469
-1.8444e-05,-0.0674375,13.8063
-1.8440e-05,-0.0676719,13.8094
-1.8436e-05,-0.0678047,13.7875
-1.8432e-05,-0.0676797,13.8781
-1.8428e-05,-0.0677031,13.7844
-1.8424e-05,-0.0679688,13.75
-1.8420e-05,-0.0679141,13.7844
-1.8416e-05,-0.0677344,13.9156
-1.8412e-05,-0.0681016,13.7656
-1.8408e-05,-0.0680547,13.7344
-1.8404e-05,-0.0683047,13.7906
-1.8400e-05,-0.0680703,13.8125
-1.8396e-05,-0.0681484,13.8938
-1.8392e-05,-0.0681172,13.8844
-1.8388e-05,-0.0682734,13.8281
-1.8384e-05,-0.0682969,13.8281
-1.8380e-05,-0.0683047,13.8219
-1.8376e-05,-0.0683125,13.8281
-1.8372e-05,-0.068375,13.7781
-1.8368e-05,-0.0684063,13.825
-1.8364e-05,-0.0684844,13.7875
-1.8360e-05,-0.0681484,13.8719
-1.8356e-05,-0.0686953,13.7031
-1.8352e-05,-0.0684844,13.8125
-1.8348e-05,-0.0684219,13.8031
-1.8344e-05,-0.0683984,13.775
-1.8340e-05,-0.0683437,13.8531
-1.8336e-05,-0.0684687,13.7688
-1.8332e-05,-0.0682734,13.8344
-1.8328e-05,-0.0684766,13.8063
-1.8324e-05,-0.0682891,13.8688
-1.8320e-05,-0.0683594,13.7781
-1.8316e-05,-0.0682734,13.8219
-1.8312e-05,-0.0682656,13.7844
-1.8308e-05,-0.0684609,13.7125
-1.8304e-05,-0.0682031,13.8438
-1.8300e-05,-0.0683516,13.7688
-1.8296e-05,-0.0683359,13.6969
-1.8292e-05,-0.0682187,13.7438
-1.8288e-05,-0.0679375,13.925
-1.8284e-05,-0.0681484,13.7812
-1.8280e-05,-0.0680937,13.8156
-1.8276e-05,-0.0679063,13.8
-1.8272e-05,-0.0680156,13.7875
-1.8268e-05,-0.0678672,13.8219
-1.8264e-05,-0.0678828,13.7906
-1.8260e-05,-0.0677422,13.8125
-1.8256e-05,-0.0676328,13.8063
-1.8252e-05,-0.0677578,13.8313
-1.8248e-05,-0.0676172,13.8344
