time	Ix(U2:Ano)	Ix(U3:Cath)
1.002000000000217e-06	-1.030664e-07	5.059105e-08
1.002000000000227e-06	-1.005828e-07	5.431634e-08
1.002010000000227e-06	-1.087681e-07	4.334870e-08
1.002020000000227e-06	-1.098218e-07	3.928162e-08
1.002184285714514e-06	-1.002575e-07	3.012289e-08
1.002348571428801e-06	-9.161485e-08	2.181913e-08
1.002512857143087e-06	-8.389371e-08	1.437033e-08
1.002677142857374e-06	-7.709412e-08	7.776487e-09
1.002841428571661e-06	-7.121608e-08	2.037609e-09
1.003005714285948e-06	-6.625959e-08	-2.846307e-09
1.003170000000234e-06	-6.222466e-08	-6.875262e-09
1.003180000000234e-06	-6.197715e-08	-7.120357e-09
1.003585714285951e-06	-5.443737e-08	-1.463540e-08
1.003991428571668e-06	-4.804608e-08	-2.099895e-08
1.004397142857385e-06	-4.280327e-08	-2.621099e-08
1.004802857143102e-06	-3.870894e-08	-3.027152e-08
1.005208571428819e-06	-3.576310e-08	-3.318056e-08
1.005614285714536e-06	-3.396573e-08	-3.493809e-08
1.006020000000253e-06	-3.331684e-08	-3.554412e-08
1.007075714285974e-06	-3.174192e-08	-3.691305e-08
1.008131428571695e-06	-3.046792e-08	-3.797224e-08
1.009187142857416e-06	-2.949486e-08	-3.872168e-08
1.010242857143137e-06	-2.882273e-08	-3.916137e-08
1.011298571428858e-06	-2.845153e-08	-3.929130e-08
1.012354285714579e-06	-2.838127e-08	-3.911149e-08
1.013410000000300e-06	-2.861193e-08	-3.862193e-08
1.013420000000300e-06	-2.861080e-08	-3.862072e-08
1.023660000000366e-06	-2.758751e-08	-3.728410e-08
1.033900000000432e-06	-2.661806e-08	-3.597593e-08
1.044140000000498e-06	-2.568272e-08	-3.471365e-08
1.054380000000564e-06	-2.478028e-08	-3.349565e-08
1.064620000000629e-06	-2.390960e-08	-3.232037e-08
1.074860000000695e-06	-2.306954e-08	-3.118633e-08
1.085100000000761e-06	-2.225902e-08	-3.009207e-08
1.095340000000827e-06	-2.147702e-08	-2.903621e-08
1.105580000000893e-06	-2.072251e-08	-2.801738e-08
1.115820000000959e-06	-1.999454e-08	-2.703430e-08
1.126060000001024e-06	-1.929216e-08	-2.608571e-08
1.136300000001090e-06	-1.861448e-08	-2.517041e-08
1.146540000001156e-06	-1.796062e-08	-2.428721e-08
1.156780000001222e-06	-1.732975e-08	-2.343501e-08
1.167020000001288e-06	-1.672106e-08	-2.261270e-08
1.177260000001353e-06	-1.613377e-08	-2.181925e-08
1.187500000001419e-06	-1.556712e-08	-2.105364e-08
1.197740000001485e-06	-1.502038e-08	-2.031489e-08
1.207980000001551e-06	-1.449286e-08	-1.960205e-08
1.218220000001617e-06	-1.398388e-08	-1.891424e-08
1.228460000001683e-06	-1.349279e-08	-1.825055e-08
1.238700000001748e-06	-1.301895e-08	-1.761015e-08
1.248940000001814e-06	-1.256176e-08	-1.699223e-08
1.259180000001880e-06	-1.212064e-08	-1.639598e-08
1.269420000001946e-06	-1.169502e-08	-1.582066e-08
1.279660000002012e-06	-1.128435e-08	-1.526553e-08
1.289900000002077e-06	-1.088811e-08	-1.472987e-08
1.300140000002143e-06	-1.050580e-08	-1.421301e-08
1.310380000002209e-06	-1.013691e-08	-1.371429e-08
1.320620000002275e-06	-9.780980e-09	-1.323307e-08
1.330860000002341e-06	-9.437553e-09	-1.276873e-08
1.341100000002407e-06	-9.106193e-09	-1.232069e-08
1.351340000002472e-06	-8.786470e-09	-1.188837e-08
1.361580000002538e-06	-8.477979e-09	-1.147122e-08
1.371820000002604e-06	-8.180323e-09	-1.106871e-08
1.382060000002670e-06	-7.893121e-09	-1.068032e-08
1.392300000002736e-06	-7.616006e-09	-1.030556e-08
1.402540000002802e-06	-7.348626e-09	-9.943957e-09
1.412780000002867e-06	-7.090635e-09	-9.595040e-09
1.423020000002933e-06	-6.841704e-09	-9.258367e-09
1.433260000002999e-06	-6.601516e-09	-8.933509e-09
1.443500000003065e-06	-6.369762e-09	-8.620051e-09
1.453740000003131e-06	-6.146148e-09	-8.317593e-09
1.463980000003196e-06	-5.930386e-09	-8.025748e-09
1.474220000003262e-06	-5.722200e-09	-7.744145e-09
1.484460000003328e-06	-5.521325e-09	-7.472425e-09
1.494700000003394e-06	-5.327504e-09	-7.210240e-09
1.504940000003460e-06	-5.140488e-09	-6.957257e-09
1.515180000003526e-06	-4.960039e-09	-6.713150e-09
1.525420000003591e-06	-4.785926e-09	-6.477611e-09
1.535660000003657e-06	-4.617927e-09	-6.250337e-09
1.545900000003723e-06	-4.455827e-09	-6.031040e-09
1.556140000003789e-06	-4.299418e-09	-5.819437e-09
1.566380000003855e-06	-4.148499e-09	-5.615261e-09
1.576620000003920e-06	-4.002881e-09	-5.418251e-09
1.586860000003986e-06	-3.862375e-09	-5.228153e-09
1.597100000004052e-06	-3.726802e-09	-5.044729e-09
1.607340000004118e-06	-3.595988e-09	-4.867740e-09
1.617580000004184e-06	-3.469768e-09	-4.696963e-09
1.627820000004250e-06	-3.347978e-09	-4.532179e-09
1.638060000004315e-06	-3.230465e-09	-4.373178e-09
1.648300000004381e-06	-3.117076e-09	-4.219757e-09
1.658540000004447e-06	-3.007669e-09	-4.071720e-09
1.668780000004513e-06	-2.902103e-09	-3.928879e-09
